"","Species","Common_name","Begin_study_date","End_study_date","Life_history_process","sex","Fucntional_form","Value","Units","Parameter_name","Sample_size","Method","Large_marine_ecosystem","More_specific_location","Reference"
"836","Repomucenus huguenini","Huguenin’s dragonet",2011,2011,"weight at length","male","power function",7.44e-06,"NA","a","70","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"837","Repomucenus huguenini","Huguenin’s dragonet",2011,2011,"weight at length","male","power function",2.89,"NA","b","70","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"838","Callionymus curvicornis","Horn dragonet",2011,2011,"weight at length","both","power function",8.99e-06,"NA","a","526","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"839","Callionymus curvicornis","Horn dragonet",2011,2011,"weight at length","both","power function",2.72,"NA","b","526","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"840","Decapterus maruadsi","Japanese scad",2011,2011,"weight at length","both","power function",4.92e-06,"NA","a","58","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"841","Decapterus maruadsi","Japanese scad",2011,2011,"weight at length","both","power function",3.25,"NA","b","58","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"842","Konosirus punctatus","Dotted gizzard shad",2011,2011,"weight at length","both","power function",1.14e-05,"NA","a","188","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"843","Konosirus punctatus","Dotted gizzard shad",2011,2011,"weight at length","both","power function",2.86,"NA","b","188","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"844","Conger myriaster","Whitespotted conger",2011,2011,"weight at length","both","power function",0.000509,"NA","a","694","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"845","Conger myriaster","Whitespotted conger",2011,2011,"weight at length","both","power function",3.3,"NA","b","694","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"846","Pseudoblennius cottoides","Sunrise sculpin",2011,2011,"weight at length","both","power function",4.36e-06,"NA","a","182","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"847","Pseudoblennius cottoides","Sunrise sculpin",2011,2011,"weight at length","both","power function",3.43,"NA","b","182","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"848","Cynoglossus lighti","<U+957F><U+543B><U+820C><U+9CCE>",2011,2011,"weight at length","both","power function",0.00179,"NA","a","1095","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"849","Cynoglossus lighti","<U+957F><U+543B><U+820C><U+9CCE>",2011,2011,"weight at length","both","power function",3.33,"NA","b","1095","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"850","Coilia mystus","Osbeck's grenadier anchovy",2011,2011,"weight at length","both","power function",0.00207,"NA","a","144","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"851","Coilia mystus","Osbeck's grenadier anchovy",2011,2011,"weight at length","both","power function",3.05,"NA","b","144","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"852","Setipinna tety","Scaly hairfin anchovy",2011,2011,"weight at length","both","power function",4.27e-06,"NA","a","130","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"853","Setipinna tety","Scaly hairfin anchovy",2011,2011,"weight at length","both","power function",3.1,"NA","b","130","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"854","Stolephorus commersonnii","Commerson's anchovy",2011,2011,"weight at length","both","power function",4.32e-06,"NA","a","39","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"855","Stolephorus commersonnii","Commerson's anchovy",2011,2011,"weight at length","both","power function",3.14,"NA","b","39","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"856","Thryssa kammalensis","Kammal thryssa",2011,2011,"weight at length","both","power function",0.00245,"NA","a","607","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"857","Thryssa kammalensis","Kammal thryssa",2011,2011,"weight at length","both","power function",3.43,"NA","b","607","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"858","Thryssa mystax","Moustached thryssa",2011,2011,"weight at length","both","power function",0.000727,"NA","a","131","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"859","Thryssa mystax","Moustached thryssa",2011,2011,"weight at length","both","power function",3.75,"NA","b","131","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"860","Acentrogobius pflaumii","Striped sandgoby",2011,2011,"weight at length","both","power function",3.96e-06,"NA","a","356","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"861","Acentrogobius pflaumii","Striped sandgoby",2011,2011,"weight at length","both","power function",3.22,"NA","b","356","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"862","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","both","power function",3.62e-06,"NA","a","292","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"863","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","both","power function",3.14,"NA","b","292","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"864","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","female","power function",3.06e-06,"NA","a","157","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"865","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","female","power function",3.22,"NA","b","157","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"866","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","male","power function",4.21e-06,"NA","a","135","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"867","Amblychaeturichthys hexanema","Pinkgray goby",2011,2011,"weight at length","male","power function",3.07,"NA","b","135","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"868","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","both","power function",1.64e-05,"NA","a","188","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"869","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","both","power function",2.58,"NA","b","188","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"870","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","female","power function",6.42e-06,"NA","a","155","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"871","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","female","power function",2.95,"NA","b","155","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"872","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","male","power function",1.68e-05,"NA","a","33","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"873","Chaeturichthys stigmatias","Branded goby",2011,2011,"weight at length","male","power function",2.54,"NA","b","33","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"874","Myersina filifer","Filamentous shrimpgoby",2011,2011,"weight at length","both","power function",5.35e-06,"NA","a","173","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"875","Myersina filifer","Filamentous shrimpgoby",2011,2011,"weight at length","both","power function",2.96,"NA","b","173","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"876","Paratrypauchen microcephalus","Comb goby",2011,2011,"weight at length","both","power function",0.00245,"NA","a","60","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"877","Paratrypauchen microcephalus","Comb goby",2011,2011,"weight at length","both","power function",3.05,"NA","b","60","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"878","Tridentiger barbatus","Shokihaze goby",2011,2011,"weight at length","both","power function",4.58e-06,"NA","a","186","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"879","Tridentiger barbatus","Shokihaze goby",2011,2011,"weight at length","both","power function",3.47,"NA","b","186","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"880","Tridentiger trigonocephalus","Chameleon goby",2011,2011,"weight at length","both","power function",3.87e-06,"NA","a","39","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"881","Tridentiger trigonocephalus","Chameleon goby",2011,2011,"weight at length","both","power function",3.42,"NA","b","39","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"882","Hexagrammos otakii","Fat greenling",2011,2011,"weight at length","both","power function",4.56e-06,"NA","a","1323","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"883","Hexagrammos otakii","Fat greenling",2011,2011,"weight at length","both","power function",3.36,"NA","b","1323","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"884","Lophius litulon","Yellow goosefish",2011,2011,"weight at length","both","power function",5.23e-06,"NA","a","97","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"885","Lophius litulon","Yellow goosefish",2011,2011,"weight at length","both","power function",3.3,"NA","b","97","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"886","Thamnaconus septentrionalis","<U+7EFF><U+9CCD><U+9A6C><U+9762><U+9C80>",2011,2011,"weight at length","both","power function",9.44e-06,"NA","a","26","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"887","Thamnaconus septentrionalis","<U+7EFF><U+9CCD><U+9A6C><U+9762><U+9C80>",2011,2011,"weight at length","both","power function",3.14,"NA","b","26","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"888","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","both","power function",0.000789,"NA","a","267","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"889","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","both","power function",3.53,"NA","b","267","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"890","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","female","power function",0.000619,"NA","a","90","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"891","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","female","power function",3.63,"NA","b","90","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"892","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","male","power function",0.000827,"NA","a","177","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"893","Pholis fangi","<U+65B9><U+6C0F><U+4E91><U+9CDA>",2011,2011,"weight at length","male","power function",3.52,"NA","b","177","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"894","Pleuronichthys cornutus","Ridged-eye flounder",2011,2011,"weight at length","both","power function",6.72e-06,"NA","a","108","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"895","Pleuronichthys cornutus","Ridged-eye flounder",2011,2011,"weight at length","both","power function",3.26,"NA","b","108","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"896","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","both","power function",7.24e-06,"NA","a","79","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"897","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","both","power function",3.06,"NA","b","79","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"898","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","female","power function",6.28e-06,"NA","a","54","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"899","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","female","power function",3.12,"NA","b","54","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"900","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","male","power function",1.03e-05,"NA","a","25","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"901","Collichthys lucidus","Big head croaker",2011,2011,"weight at length","male","power function",2.92,"NA","b","25","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"902","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","both","power function",7.49e-06,"NA","a","102","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"903","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","both","power function",3.06,"NA","b","102","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"904","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","female","power function",8.26e-06,"NA","a","79","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"905","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","female","power function",3.03,"NA","b","79","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"906","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","male","power function",6.24e-06,"NA","a","23","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"907","Johnius belangerii","Belanger's croaker",2011,2011,"weight at length","male","power function",3.11,"NA","b","23","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"908","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","both","power function",9.67e-06,"NA","a","317","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"909","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","both","power function",2.93,"NA","b","317","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"910","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","female","power function",9.86e-06,"NA","a","203","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"911","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","female","power function",2.93,"NA","b","203","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"912","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","male","power function",1.2e-05,"NA","a","114","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"913","Larimichthys polyactis","Small yellow croaker",2011,2011,"weight at length","male","power function",2.84,"NA","b","114","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"914","Miichthys miiuy","Mi-iuy croaker",2011,2011,"weight at length","both","power function",4.58e-06,"NA","a","94","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"915","Miichthys miiuy","Mi-iuy croaker",2011,2011,"weight at length","both","power function",3.18,"NA","b","94","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"916","Pennahia argentata","Silver croaker",2011,2011,"weight at length","both","power function",4.09e-06,"NA","a","160","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"917","Pennahia argentata","Silver croaker",2011,2011,"weight at length","both","power function",3.35,"NA","b","160","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"918","Sebastiscus marmoratus","False kelpfish",2011,2011,"weight at length","both","power function",1.08e-05,"NA","a","40","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"919","Sebastiscus marmoratus","False kelpfish",2011,2011,"weight at length","both","power function",3.18,"NA","b","40","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"920","Sebastes hubbsi","<U+94E0><U+5E73><U+9C89>",2011,2011,"weight at length","both","power function",9.77e-06,"NA","a","68","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"921","Sebastes hubbsi","<U+94E0><U+5E73><U+9C89>",2011,2011,"weight at length","both","power function",3.34,"NA","b","68","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"922","Sebastes schlegelii","Korean rockfish",2011,2011,"weight at length","both","power function",6.37e-06,"NA","a","334","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"923","Sebastes schlegelii","Korean rockfish",2011,2011,"weight at length","both","power function",3.37,"NA","b","334","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"924","Sillago sihama","Silver sillago",2011,2011,"weight at length","both","power function",3.72e-06,"NA","a","46","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"925","Sillago sihama","Silver sillago",2011,2011,"weight at length","both","power function",3.22,"NA","b","46","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"926","Sphyraena pinguis","Red barracuda",2011,2011,"weight at length","both","power function",0.0019,"NA","a","38","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"927","Sphyraena pinguis","Red barracuda",2011,2011,"weight at length","both","power function",3.34,"NA","b","38","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"928","Pampus punctatissimus","Managatsuo",2011,2011,"weight at length","both","power function",4.04e-06,"NA","a","36","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"929","Pampus punctatissimus","Managatsuo",2011,2011,"weight at length","both","power function",3.46,"NA","b","36","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"930","Pampus argenteus","Silver pomfret",2011,2011,"weight at length","both","power function",1.06e-05,"NA","a","208","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"931","Pampus argenteus","Silver pomfret",2011,2011,"weight at length","both","power function",3008,"NA","b","208","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"932","Saurida elongata","Slender lizardfish",2011,2011,"weight at length","both","power function",4.14e-06,"NA","a","101","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"933","Saurida elongata","Slender lizardfish",2011,2011,"weight at length","both","power function",3.13,"NA","b","101","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
"934","Saurida elongata","Slender lizardfish",2011,2011,"weight at length","female","power function",5.73e-06,"NA","a","29","NA","Yellow Sea","Haizhou Bay","Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013)."
